Participante,Data/Hora do Envio,Q1_PapelAtual,Q2_LinguagensMaisUsadas,Q3_ComoAprendeu,Q4_AmbientePreferido,Q5_FerramentasPlataformas,Q6_UsoDeIA,Q7_Motivacao,Q8_Desafios,Q9_TecnologiasParaAprender,Q10_PorQueContinua
SP62DH,2024-05-07 04:14:11,Estudante,Rust; C++,Hackathons; Trabalho/Prática,Startup; Consultoria; Open source; Empresa grande; Híbrido,IntelliJ; PyCharm; GitLab; GitHub; Jupyter,Outro,Aprender; Comunidade; Carreira; Resolver problemas,Infraestrutura; Teste/QA; Débito técnico; Escalabilidade; Ferramentas novas,Cloud Azure; Go; Data Science; React,Boas oportunidades; Empreender; Comunidade; Flexibilidade
TK09GQ,2024-12-08 21:27:39,Estagiário,JavaScript; SQL; C#; Kotlin; C++,Mentoria; Comunidades/Fóruns; Blogs/Artigos; Pós-graduação,Freelancer; Governo,Eclipse; GitLab; Docker; Vim/Neovim; IntelliJ,Uso para gerar código,Autonomia; Comunidade,Deploy; Falta de requisitos; Segurança,Kubernetes; Cloud Azure,Ensinar; Impacto social
PY81CV,2024-09-13 03:21:07,DevOps/Infra,Swift; C++; Kotlin; Dart; Python,Cursos online; Trabalho/Prática; Mentoria; Livros,Multinacional; Times grandes; Clima flexível; Governo,Eclipse; Bitbucket; VS Code,Treino modelos,Criatividade; Inovação; Aprender; Desafio,Mudanças constantes; Teste/QA,Data Science; Kubernetes; Cloud GCP; Cloud AWS; Cloud Azure,Curiosidade; Paixão; Boas oportunidades; Mercado aquecido; Impacto social
UI66ZP,2024-05-08 14:29:56,Professor,Kotlin; C++; TypeScript; PHP,Cursos presenciais; Livros; Hackathons,Open source; Startup,GCP; Eclipse,Uso em produção,Pesquisa; Autonomia; Dinheiro,Ferramentas novas; Escalabilidade; Documentação,React; Flutter; Kubernetes; Cloud Azure,Mercado aquecido; Empreender; Paixão; Crescimento pessoal; Ensinar
GB74AX,2024-08-28 03:38:44,Estudante,Ruby; Swift; Java,Graduação; Trabalho/Prática,Times grandes; Empresa grande,Kubernetes; Azure,Uso semanalmente,Propósito; Ensinar,Complexidade do código; Ferramentas novas,Data Science; React; Cloud Azure,Crescimento pessoal; Ensinar; Pesquisa; Comunidade; Impacto social
AI77DZ,2024-04-20 06:23:58,Desenvolvedor Pleno,Rust; Dart,Comunidades/Fóruns; Documentação oficial; Hackathons; Trabalho/Prática,Remoto; Times grandes; Clima flexível,Eclipse; Bitbucket; GitLab; Vim/Neovim,Uso em produção,Reconhecimento; Resolver problemas; Desafio; Aprender; Criatividade,Deploy; Mudanças constantes; Bugs difíceis; Complexidade do código,React; Kotlin,Flexibilidade; Desafios
IR98TT,2024-04-30 13:56:57,Estudante,Ruby; C++; Java; R; SQL,Tutoriais YouTube; Pós-graduação; Blogs/Artigos; Bootcamp,Presencial; Empresa grande; Times pequenos,Vim/Neovim; PyCharm; Kubernetes; Jupyter; Azure,Uso para revisar código,Inovação; Estabilidade; Reconhecimento; Pesquisa,Gerenciar tempo; Segurança; Teste/QA,Cloud AWS; Go; Swift; Cloud Azure; Kubernetes,Comunidade; Ensinar; Reconhecimento; Desafios
WE70JM,2024-01-01 09:22:51,DevOps/Infra,Go; JavaScript; Python,Mentoria; Trabalho/Prática,Times pequenos; Startup; Academia; Clima flexível,GitLab; IntelliJ; Figma,Uso raramente,Carreira; Inovação,Ferramentas novas; Dados ruins; Escalabilidade; Bugs difíceis,Kotlin; Rust; Cloud GCP; DevOps,Paixão; Empreender; Crescimento pessoal; Desafios; Ensinar
WS04FR,2024-06-30 19:28:40,Professor,C#; Go; JavaScript; PHP; Dart,Hackathons; Bootcamp; Projetos pessoais; Livros,Times pequenos; Academia; Híbrido,Eclipse; Jupyter; Docker,Uso para depurar,Inovação; Comunidade; Dinheiro,Falta de requisitos; Infraestrutura,Kotlin; Cloud GCP; Swift,Mercado aquecido; Flexibilidade
OI52RC,2024-09-08 05:00:48,Desenvolvedor Pleno,Python; JavaScript; Java; Ruby; C++,Trabalho/Prática; Bootcamp; Outros,Laboratório; Presencial; Times grandes; Startup,Jupyter; PyCharm; GitLab,Outro,Carreira; Reconhecimento; Desafio; Propósito,Complexidade do código; Débito técnico,Node.js; IA/ML,Curiosidade; Ensinar; Empreender
CA10UO,2024-12-01 17:38:29,Estagiário,Java; Swift; Ruby; SQL,Pós-graduação; Blogs/Artigos; Outros; Mentoria; Livros,Freelancer; Governo; Academia; Presencial,Kubernetes; Docker,Uso com copilotos,Propósito; Resolver problemas; Autonomia; Ensinar; Impacto,Complexidade do código; Dados ruins; Ferramentas novas; Comunicação,Swift; Go,Paixão; Boas oportunidades; Desafios; Ensinar
SI83KO,2024-03-05 16:13:12,QA/Testes,SQL; Swift; JavaScript,Graduação; Mentoria; Comunidades/Fóruns; Cursos online,Clima flexível; Laboratório,GitLab; GitHub,Uso para revisar código,Inovação; Ensinar; Reconhecimento; Resolver problemas,Mudanças constantes; Comunicação,Go; Cloud Azure; Cloud AWS; Blockchain,Empreender; Pesquisa; Boas oportunidades; Desafios; Mercado aquecido
PP82NK,2024-07-31 02:38:18,Produto/PO,Python; Dart; Kotlin; Go,Cursos presenciais; Mentoria; Livros; Projetos pessoais,Presencial; Multinacional,Kubernetes; AWS; PyCharm; Bitbucket,Outro,Dinheiro; Pesquisa,Deploy; Dados ruins,Swift; IA/ML; DevOps; Go,Flexibilidade; Reconhecimento
XM50SS,2024-12-24 04:33:38,Estagiário,TypeScript; Ruby; PHP; C#; Kotlin,Cursos online; Documentação oficial; Bootcamp; Comunidades/Fóruns; Livros,Governo; Laboratório; Híbrido,GCP; IntelliJ,Uso para ideias,Ensinar; Reconhecimento,Complexidade do código; Mudanças constantes; Débito técnico; Ferramentas novas; Falta de requisitos,React; Go; Kotlin; Flutter; IA/ML,Trabalho remoto; Curiosidade; Pesquisa; Remuneração
TI90PZ,2024-06-27 22:37:20,UX/UI,SQL; Swift; JavaScript; Kotlin,Cursos online; Projetos pessoais,Startup; Multinacional; Híbrido,PyCharm; GitHub; Figma,Nunca uso,Inovação; Estabilidade; Dinheiro; Ensinar; Aprender,Infraestrutura; Bugs difíceis,Rust; Node.js; Cloud Azure,Trabalho remoto; Pesquisa; Mercado aquecido; Flexibilidade; Desafios
KB80LK,2024-11-29 20:30:14,QA/Testes,TypeScript; C++; JavaScript; SQL,Comunidades/Fóruns; Graduação,Presencial; Times grandes; Empresa grande; Híbrido,Vim/Neovim; Docker; GCP,Uso semanalmente,Autonomia; Criatividade,Gerenciar tempo; Escalabilidade; Dados ruins,Kubernetes; Data Science; DevOps; Cloud AWS,Reconhecimento; Crescimento pessoal; Desafios; Impacto social; Curiosidade
CT36WQ,2024-08-01 22:33:11,Desenvolvedor Pleno,C#; PHP; C++; Dart; Kotlin,Graduação; Livros; Pós-graduação; Projetos pessoais; Tutoriais YouTube,Presencial; Open source; Híbrido; Times pequenos,Kubernetes; IntelliJ; Bitbucket,Uso diariamente,Desafio; Impacto; Estabilidade; Carreira; Aprender,Débito técnico; Dados ruins; Infraestrutura; Deploy,Data Science; Cloud AWS; Blockchain,Boas oportunidades; Flexibilidade; Comunidade; Impacto social; Curiosidade
BQ51UJ,2024-11-14 01:09:15,UX/UI,C#; JavaScript; Java,Pós-graduação; Graduação; Mentoria; Blogs/Artigos,Presencial; Clima flexível,Kubernetes; GitLab; Azure; Bitbucket; Figma,Uso com copilotos,Propósito; Estabilidade; Criatividade; Impacto,Complexidade do código; Ferramentas novas; Segurança; Deploy; Falta de requisitos,Swift; IA/ML; DevOps; Go,Desafios; Flexibilidade
UI66ZP,2024-05-08 14:29:56,Professor,Kotlin; C++; TypeScript; PHP,Cursos presenciais; Livros; Hackathons,Open source; Startup,GCP; Eclipse,Uso em produção,Pesquisa; Autonomia; Dinheiro,Ferramentas novas; Escalabilidade; Documentação,React; Flutter; Kubernetes; Cloud Azure,Mercado aquecido; Empreender; Paixão; Crescimento pessoal; Ensinar
XP15PR,2024-02-28 08:09:07,Outro,Kotlin; R; C++; PHP,Bootcamp; Livros,Times grandes; Empresa grande; Clima flexível; Multinacional,GitLab; VS Code,Crio prompts avançados,Inovação; Estabilidade; Impacto,Débito técnico; Infraestrutura; Ferramentas novas; Escalabilidade,Node.js; Data Science; Blockchain; Swift; Kubernetes,Mercado aquecido; Curiosidade; Crescimento pessoal; Reconhecimento
FD21BU,2024-08-19 02:12:44,Pesquisador,Go; JavaScript; Dart; Ruby,Projetos pessoais; Tutoriais YouTube; Bootcamp; Comunidades/Fóruns,Open source; Híbrido; Governo; Remoto; Laboratório,Azure; Vim/Neovim; VS Code; PyCharm,Uso diariamente,Inovação; Estabilidade,Teste/QA; Gerenciar tempo; Documentação; Débito técnico,Go; Kotlin; Rust; Cloud GCP; Cloud AWS,Comunidade; Empreender; Flexibilidade; Curiosidade; Ensinar
WD48BQ,2024-01-25 04:54:55,Cientista de Dados,R; Rust,Blogs/Artigos; Pós-graduação; Trabalho/Prática; Mentoria,Freelancer; Times pequenos,Figma; GitHub; IntelliJ; Azure,Uso em produção,Reconhecimento; Aprender; Estabilidade; Comunidade,Segurança; Deploy; Dados ruins; Gerenciar tempo; Complexidade do código,Node.js; React; Go,Pesquisa; Desafios; Curiosidade
JS70EA,2024-01-18 06:26:58,Desenvolvedor Sênior,Kotlin; SQL; Swift; Go; Rust,Documentação oficial; Trabalho/Prática; Pós-graduação; Projetos pessoais; Outros,Presencial; Startup; Consultoria; Academia,Figma; VS Code; GitLab; Bitbucket; Eclipse,Nunca uso,Carreira; Dinheiro; Comunidade; Estabilidade,Segurança; Teste/QA,Data Science; Rust; Blockchain; DevOps,Boas oportunidades; Empreender; Pesquisa
XX20RL,2024-11-30 08:07:31,Produto/PO,Go; C#; R; JavaScript; Ruby,Projetos pessoais; Livros; Blogs/Artigos; Graduação; Tutoriais YouTube,Remoto; Academia; Clima flexível; Empresa grande; Startup,Docker; GitLab; AWS; Jupyter; GitHub,Nunca uso,Reconhecimento; Autonomia; Comunidade; Pesquisa; Propósito,Bugs difíceis; Débito técnico; Escalabilidade,Swift; Node.js,Mercado aquecido; Ensinar; Impacto social; Boas oportunidades; Pesquisa
GL67XD,2024-10-26 00:04:20,Pesquisador,C#; Swift; R; PHP,Pós-graduação; Hackathons; Livros; Mentoria,Híbrido; Multinacional; Times pequenos,GCP; Eclipse; Bitbucket; Azure,Treino modelos,Impacto; Estabilidade; Inovação; Pesquisa,Comunicação; Infraestrutura; Ferramentas novas; Escalabilidade,Blockchain; Swift; Rust; Go,Mercado aquecido; Desafios; Trabalho remoto; Curiosidade
KH33CU,2024-07-10 18:43:22,Produto/PO,TypeScript; C++,Livros; Blogs/Artigos; Trabalho/Prática; Cursos presenciais; Documentação oficial,Remoto; Startup,Bitbucket; VS Code,Uso semanalmente,Criatividade; Propósito,Comunicação; Débito técnico; Complexidade do código; Dados ruins; Bugs difíceis,Blockchain; Flutter,Desafios; Ensinar
KC31EY,2024-11-03 12:30:26,UX/UI,Swift; PHP; Java; Ruby; Rust,Pós-graduação; Trabalho/Prática; Mentoria; Graduação,Empresa grande; Multinacional; Times pequenos; Times grandes; Presencial,GitHub; VS Code; Figma,Uso para ideias,Propósito; Inovação; Autonomia; Aprender; Impacto,Dados ruins; Documentação; Teste/QA; Comunicação,Blockchain; Rust,Crescimento pessoal; Pesquisa; Curiosidade
CS49UH,2024-11-08 21:24:52,Pesquisador,Ruby; TypeScript; Java; Kotlin; Dart,Graduação; Pós-graduação,Open source; Times pequenos; Academia; Freelancer,Figma; Azure,Treino modelos,Resolver problemas; Aprender; Comunidade; Estabilidade; Carreira,Débito técnico; Mudanças constantes; Ferramentas novas; Escalabilidade; Teste/QA,Cloud Azure; Cloud AWS; Kubernetes,Remuneração; Flexibilidade; Paixão; Desafios
EC74XS,2024-04-16 01:47:54,Desenvolvedor Sênior,Ruby; Kotlin,Cursos presenciais; Projetos pessoais; Blogs/Artigos; Graduação; Pós-graduação,Laboratório; Consultoria,VS Code; Figma; Kubernetes; Docker; GitLab,Uso para documentação,Aprender; Autonomia; Ensinar,Documentação; Falta de requisitos,Flutter; Rust; Cloud Azure; Cloud GCP,Comunidade; Desafios
CM83QL,2024-01-05 12:08:32,Estagiário,JavaScript; Dart,Trabalho/Prática; Outros; Comunidades/Fóruns; Pós-graduação; Cursos online,Empresa grande; Multinacional; Times pequenos; Híbrido; Governo,Docker; Kubernetes; GCP,Uso em produção,Carreira; Autonomia; Impacto; Resolver problemas; Criatividade,Escalabilidade; Segurança,Kubernetes; Node.js; Flutter,Impacto social; Remuneração
VU50VO,2024-11-14 00:01:35,Empreendedor,SQL; Dart,Trabalho/Prática; Cursos presenciais; Graduação,Remoto; Academia; Open source,PyCharm; VS Code; IntelliJ; Azure,Uso diariamente,Resolver problemas; Reconhecimento; Carreira,Complexidade do código; Dados ruins,DevOps; Go; Cloud AWS; Kubernetes,Boas oportunidades; Desafios
WD16PK,2024-08-19 10:04:57,DevOps/Infra,Rust; R; Python; Swift,Trabalho/Prática; Comunidades/Fóruns,Clima flexível; Consultoria; Freelancer; Híbrido,Docker; IntelliJ; Kubernetes; VS Code,Uso em produção,Reconhecimento; Inovação; Impacto; Ensinar,Segurança; Deploy,Node.js; Kotlin; Go; Swift,Mercado aquecido; Crescimento pessoal; Ensinar
OY07QE,2024-12-25 22:58:41,Pesquisador,Swift; Python; JavaScript; C++,Livros; Bootcamp; Trabalho/Prática,Remoto; Governo; Startup,Azure; Docker,Uso para depurar,Dinheiro; Estabilidade,Complexidade do código; Teste/QA; Dados ruins; Débito técnico; Infraestrutura,Kotlin; Cloud AWS,Curiosidade; Boas oportunidades; Mercado aquecido
OY07QE,2024-12-25 22:58:41,Pesquisador,Swift; Python; JavaScript; C++,Livros; Bootcamp; Trabalho/Prática,Remoto; Governo; Startup,Azure; Docker,Uso para depurar,Dinheiro; Estabilidade,Complexidade do código; Teste/QA; Dados ruins; Débito técnico; Infraestrutura,Kotlin; Cloud AWS,Curiosidade; Boas oportunidades; Mercado aquecido
WM17KY,2024-12-05 04:19:17,Desenvolvedor Júnior,TypeScript; R; Swift; Java,Documentação oficial; Cursos online; Tutoriais YouTube; Trabalho/Prática; Graduação,Governo; Presencial; Startup,VS Code; Docker,Uso para depurar,Carreira; Criatividade; Dinheiro,Ferramentas novas; Infraestrutura,Cloud GCP; Node.js; Go,Boas oportunidades; Reconhecimento; Flexibilidade; Trabalho remoto
HH56KQ,2024-10-05 08:28:39,DevOps/Infra,Go; R; Ruby,Tutoriais YouTube; Livros; Trabalho/Prática,Multinacional; Empresa grande; Consultoria; Laboratório; Presencial,IntelliJ; Jupyter,Crio prompts avançados,Ensinar; Criatividade; Carreira,Complexidade do código; Mudanças constantes; Comunicação,Flutter; Go; React,Pesquisa; Mercado aquecido
BY90PV,2024-07-17 08:57:54,Pesquisador,C#; TypeScript; Kotlin; Python,Tutoriais YouTube; Hackathons; Trabalho/Prática,Híbrido; Startup,AWS; GitHub; PyCharm; Figma; VS Code,Uso para ideias,Estabilidade; Reconhecimento; Propósito; Pesquisa; Criatividade,Comunicação; Segurança; Teste/QA; Falta de requisitos,DevOps; Cloud Azure; React,Boas oportunidades; Flexibilidade; Crescimento pessoal; Pesquisa
GX88RP,2024-06-02 07:55:11,Desenvolvedor Sênior,Rust; C#,Pós-graduação; Blogs/Artigos,Startup; Laboratório; Remoto; Times pequenos; Clima flexível,GitLab; Figma,Uso para gerar código,Aprender; Reconhecimento; Desafio; Estabilidade; Carreira,Ferramentas novas; Teste/QA,Go; Kotlin; Blockchain,Ensinar; Curiosidade; Boas oportunidades; Impacto social
DH48HX,2024-08-23 09:54:56,Empreendedor,Dart; C#,Graduação; Cursos presenciais; Pós-graduação; Comunidades/Fóruns,Remoto; Governo; Times grandes,VS Code; Kubernetes; Figma,Uso para revisar código,Carreira; Autonomia; Comunidade,Mudanças constantes; Débito técnico; Ferramentas novas; Falta de requisitos; Complexidade do código,Rust; Kubernetes,Desafios; Curiosidade; Mercado aquecido; Reconhecimento; Comunidade
OI52RC,2024-09-08 05:00:48,Desenvolvedor Pleno,Python; JavaScript; Java; Ruby; C++,Trabalho/Prática; Bootcamp; Outros,Laboratório; Presencial; Times grandes; Startup,Jupyter; PyCharm; GitLab,Outro,Carreira; Reconhecimento; Desafio; Propósito,Complexidade do código; Débito técnico,Node.js; IA/ML,Curiosidade; Ensinar; Empreender
AA20DX,2024-01-03 13:13:33,Desenvolvedor Sênior,C#; R; PHP,Hackathons; Blogs/Artigos,Times grandes; Academia; Times pequenos; Clima flexível,PyCharm; VS Code; Kubernetes,Uso para revisar código,Impacto; Carreira; Criatividade,Comunicação; Falta de requisitos; Documentação,Data Science; Swift; Kubernetes; Node.js,Pesquisa; Curiosidade; Reconhecimento
PV36BF,2024-02-23 22:47:52,Outro,SQL; Java,Livros; Comunidades/Fóruns; Bootcamp,Governo; Times grandes; Open source; Startup; Multinacional,Vim/Neovim; Azure; GitLab; GCP,Uso para gerar código,Desafio; Criatividade; Resolver problemas; Autonomia; Aprender,Segurança; Débito técnico; Falta de requisitos; Gerenciar tempo; Bugs difíceis,IA/ML; Flutter,Curiosidade; Empreender; Desafios; Paixão
JS05SQ,2024-02-11 07:02:59,Analista de Dados,Python; C++; TypeScript; Rust; SQL,Cursos presenciais; Outros,Times grandes; Consultoria; Freelancer; Open source,AWS; Eclipse; IntelliJ; PyCharm; VS Code,Uso semanalmente,Autonomia; Impacto,Ferramentas novas; Deploy; Mudanças constantes,Go; Cloud GCP; Rust; Data Science,Trabalho remoto; Impacto social; Curiosidade
MR58DB,2024-03-31 18:41:03,UX/UI,Kotlin; Ruby; JavaScript; Python,Trabalho/Prática; Documentação oficial,Multinacional; Times grandes; Remoto; Governo; Clima flexível,Azure; Figma; GitHub; PyCharm,Treino modelos,Carreira; Autonomia; Impacto; Aprender,Falta de requisitos; Teste/QA; Documentação; Débito técnico; Infraestrutura,React; Swift; Node.js; Kubernetes; Kotlin,Empreender; Remuneração; Comunidade; Trabalho remoto
FK86OC,2024-07-02 06:00:08,Produto/PO,Dart; C#; PHP,Blogs/Artigos; Documentação oficial,Open source; Clima flexível; Startup; Academia,Kubernetes; Eclipse; Docker; AWS,Nunca uso,Resolver problemas; Autonomia,Comunicação; Infraestrutura; Gerenciar tempo,Rust; Kubernetes; Go,Curiosidade; Comunidade
BM90TL,2024-09-18 18:27:42,Empreendedor,Python; Ruby; Swift; JavaScript; PHP,Projetos pessoais; Trabalho/Prática; Mentoria; Blogs/Artigos,Governo; Empresa grande,Kubernetes; Jupyter; GitHub; Figma,Uso para revisar código,Carreira; Inovação; Pesquisa; Criatividade; Reconhecimento,Comunicação; Teste/QA; Débito técnico,Flutter; DevOps,Flexibilidade; Reconhecimento; Crescimento pessoal; Impacto social; Empreender
RE56VA,2024-02-07 22:37:06,QA/Testes,Swift; Go,Pós-graduação; Projetos pessoais; Bootcamp; Hackathons,Remoto; Times grandes; Governo,VS Code; Azure,Uso com copilotos,Autonomia; Estabilidade; Resolver problemas,Complexidade do código; Segurança,Kubernetes; Kotlin; React,Reconhecimento; Curiosidade; Pesquisa
NV23JK,2024-08-07 10:12:07,Desenvolvedor Pleno,C++; Swift; JavaScript,Cursos presenciais; Tutoriais YouTube,Laboratório; Academia; Open source; Remoto; Consultoria,GitHub; IntelliJ,Uso raramente,Propósito; Comunidade; Estabilidade; Criatividade; Autonomia,Dados ruins; Mudanças constantes,Cloud Azure; Blockchain,Desafios; Paixão; Curiosidade; Comunidade; Reconhecimento
BS22RW,2024-05-17 05:19:16,QA/Testes,Kotlin; C#,Cursos presenciais; Outros; Comunidades/Fóruns; Livros,Academia; Híbrido,Eclipse; Jupyter; Azure,Uso para revisar código,Resolver problemas; Estabilidade; Comunidade; Carreira; Impacto,Bugs difíceis; Teste/QA,DevOps; Kubernetes; Kotlin; Blockchain,Desafios; Trabalho remoto; Paixão; Mercado aquecido; Crescimento pessoal
GB74AX,2024-08-28 03:38:44,Estudante,Ruby; Swift; Java,Graduação; Trabalho/Prática,Times grandes; Empresa grande,Kubernetes; Azure,Uso semanalmente,Propósito; Ensinar,Complexidade do código; Ferramentas novas,Data Science; React; Cloud Azure,Crescimento pessoal; Ensinar; Pesquisa; Comunidade; Impacto social
ML49MV,2024-03-25 14:26:21,Analista de Dados,Kotlin; JavaScript,Outros; Mentoria; Comunidades/Fóruns; Documentação oficial,Open source; Presencial,GitLab; Figma; Vim/Neovim; Bitbucket,Crio prompts avançados,Impacto; Dinheiro; Estabilidade; Ensinar; Desafio,Comunicação; Complexidade do código,Cloud AWS; Kotlin,Trabalho remoto; Crescimento pessoal; Paixão; Remuneração; Boas oportunidades
ET14ZB,2024-06-13 17:39:53,DevOps/Infra,Swift; SQL; Rust,Graduação; Projetos pessoais; Comunidades/Fóruns; Tutoriais YouTube; Blogs/Artigos,Empresa grande; Híbrido,Vim/Neovim; GitHub; GCP; Figma; AWS,Uso para revisar código,Autonomia; Estabilidade; Impacto; Inovação,Mudanças constantes; Deploy; Comunicação; Teste/QA,Go; Swift; Cloud GCP; Rust,Boas oportunidades; Crescimento pessoal; Pesquisa; Ensinar; Mercado aquecido
RE89MA,2024-11-29 19:54:12,Outro,PHP; Kotlin,Blogs/Artigos; Cursos presenciais; Tutoriais YouTube; Documentação oficial,Laboratório; Times pequenos,Eclipse; PyCharm; Azure,Uso em produção,Reconhecimento; Estabilidade,Ferramentas novas; Complexidade do código; Comunicação; Teste/QA,React; Blockchain,Crescimento pessoal; Empreender; Trabalho remoto; Pesquisa
XX08HH,2024-07-09 22:13:23,Professor,R; C#,Bootcamp; Projetos pessoais; Livros,Empresa grande; Multinacional; Laboratório; Governo,Eclipse; Kubernetes,Uso diariamente,Desafio; Pesquisa; Inovação; Reconhecimento; Criatividade,Mudanças constantes; Documentação,Data Science; Cloud GCP; Flutter,Mercado aquecido; Ensinar; Remuneração; Trabalho remoto; Paixão
